english;spanish;french;italian;german;japanese;chinese
Duramboros Braces X;;At. Duramboros X;;DuramborosArmschi. X;ドボルＸアーム;尾槌龙腕甲Ｘ
Duramboros Guards X;;Gardes Duramboros X;;DuramborosArmschutzX;ドボルＸガード;尾槌龙护手Ｘ
Duramboros Braces Z;;At. Duramboros Z;;DuramborosArmschi. Z;ドボルＺアーム;尾斧龙腕甲Ｚ
Duramboros Guards Z;;Gardes Duramboros Z;;DuramborosArmschutzZ;ドボルＺガード;尾斧龙护手Ｚ
Nargacuga Braces X;;Attelles Nargacuga X;;NargacugaArmschie. X;ナルガＸアーム;迅龙腕甲Ｘ
Nargacuga Guards X;;Gardes Nargacuga X;;NargacugaArmschutz X;ナルガＸガード;迅龙护手Ｘ
Nargacuga Braces Z;;Attelles Nargacuga Z;;NargacugaArmschie. Z;ナルガＺアーム;绿迅龙腕甲Ｚ
Nargacuga Guards Z;;Gardes Nargacuga Z;;NargacugaArmschutz Z;ナルガＺガード;绿迅龙护手Ｚ
Helios Vambraces X;;Avt-bras Helios X;;Helios-Armschienen X;ヘリオスＸアーム;太阳神腕甲Ｘ
Helios Guards X;;Gardes Helios X;;Helios-Armschutz X;ヘリオスＸガード;太阳神护手Ｘ
Selene Vambraces X;;Avt-bras Selene X;;Selene-Armschienen X;セレネＸアーム;月神腕甲Ｘ
Selene Guards X;;Gardes Selene X;;Selene-Armschutz X;セレネＸガード;月神护手Ｘ
Helios Vambraces Z;;Avt-bras Helios Z;;Helios-Armschienen Z;ヘリオスＺアーム;太阳神腕甲Ｚ
Helios Guards Z;;Gardes Helios Z;;Helios-Armschutz Z;ヘリオスＺガード;太阳神护手Ｚ
Selene Vambraces Z;;Avt-bras Selene Z;;Selene-Armschienen Z;セレネＺアーム;月神腕甲Ｚ
Selene Guards Z;;Gardes Selene Z;;Selene-Armschutz Z;セレネＺガード;月神护手Ｚ
Aelucanth Brachia X;;Brachia Aelucanth X;;Aelucanth-Brachia X;ロワーガＸマーノ;锹虫腕甲Ｘ
Aelucanth Manus X;;Manus Aelucanth X;;Aelucanth-Manus X;ロワーガＸブラッソ;锹虫护手Ｘ
Rhopessa Brachia X;;Brachia Rhopessa X;;Rhopessa-Brachia X;ファルメルＸマーノ;蝴蝶腕甲Ｘ
Rhopessa Manus X;;Manus Rhopessa X;;Rhopessa-Manus X;ファルメルＸブラッソ;蝴蝶护手Ｘ
Rathalos Vambraces X;;Avt-bras Rathalos X;;Rathalos-Armschie. X;レウスＸアーム;雄火龙腕甲Ｘ
Rathalos Guards X;;Gardes Rathalos X;;Rathalos-Armschutz X;レウスＸガード;雄火龙护手Ｘ
Rath Soul Braces Z;;Attelles Âme Rath Z;;RathSeelenschienen Z;リオソウルＺアーム;苍火龙腕甲Ｚ
Rath Soul Guards Z;;Gardes Âme Rath Z;;Rath.Seelenschutz Z;リオソウルＺガード;苍火龙护手Ｚ
Diablos Vambraces X;;Avt-bras Diablos X;;Diablos-Armschie. X;ディアブロＸアーム;角龙腕甲Ｘ
Diablos Guards X;;Gardes Diablos X;;Diablos-Armschutz X;ディアブロＸガード;角龙护手Ｘ
Diablos Vambraces Z;;Avt-bras Diablos Z;;Diablos-Armschie. Z;ディアブロＺアーム;黑角龙腕甲Ｚ
Diablos Guards Z;;Gardes Diablos Z;;Diablos-Armschutz Z;ディアブロＺガード;黑角龙护手Ｚ
Agnaktor Vambraces X;;Avt-bras Agnaktor X;;Agnaktor-Armschie. X;アグナＸアーム;炎戈龙腕甲Ｘ
Agnaktor Guards X;;Gardes Agnaktor X;;Agnaktor-Armschutz X;アグナＸガード;炎戈龙护手Ｘ
Agnaktor Vambraces Z;;Avt-bras Agnaktor Z;;Agnaktor-Armschie. Z;アグナＺアーム;冻戈龙腕甲Ｚ
Agnaktor Guards Z;;Gardes Agnaktor Z;;Agnaktor-Armschutz Z;アグナＺガード;冻戈龙护手Ｚ
Brachydios Braces X;;At. Brachydios X;;BrachydiosArmschi. X;ブラキＸアーム;碎龙腕甲Ｘ
Brachydios Guards X;;Gardes Brachydios X;;BrachydiosArmschutzX;ブラキＸガード;碎龙护手Ｘ
Lagiacrus Braces X;;Attelles Lagiacrus X;;LagiacrusArmschie. X;ラギアＸアーム;海龙腕甲Ｘ
Lagiacrus Guards X;;Gardes Lagiacrus X;;LagiacrusArmschutz X;ラギアＸガード;海龙护手Ｘ
Lagiacrus Braces Z;;Attelles Lagiacrus Z;;LagiacrusArmschie. Z;ラギアＺアーム;白海龙腕甲Ｚ
Lagiacrus Guards Z;;Gardes Lagiacrus Z;;LagiacrusArmschutz Z;ラギアＺガード;白海龙护手Ｚ
Uragaan Vambraces X;;Avt-bras Uragaan X;;Uragaan-Armschie. X;ガンキンＸアーム;爆锤龙腕甲Ｘ
Uragaan Guards X;;Gardes Uragaan X;;Uragaan-Armschutz X;ガンキンＸガード;爆锤龙护手Ｘ
Uragaan Vambraces Z;;Avt-bras Uragaan Z;;Uragaan-Armschie. Z;ガンキンＺアーム;钢锤龙腕甲Ｚ
Uragaan Guards Z;;Gardes Uragaan Z;;Uragaan-Armschutz Z;ガンキンＺガード;钢锤龙护手Ｚ
Zinogre Vambraces X;;Avt-bras Zinogre X;;Zinogre-Armschie. X;ジンオウＸアーム;雷狼龙腕甲Ｘ
Zinogre Guards X;;Gardes Zinogre X;;Zinogre-Armschutz X;ジンオウＸガード;雷狼龙护手Ｘ
Zinogre Vambraces Z;;Avt-bras Zinogre Z;;Zinogre-Armschie. Z;ジンオウＺアーム;狱狼龙腕甲Ｚ
Zinogre Guards Z;;Gardes Zinogre Z;;Zinogre-Armschutz Z;ジンオウＺガード;狱狼龙护手Ｚ
Dober Vambraces X;;Avt-bras Dober X;;Dober-Armschienen X;ドーベルＸアーム;远古龙腕甲Ｘ
Dober Guards X;;Gardes Dober X;;Dober-Armschutz X;ドーベルＸガード;远古龙护手Ｘ
Damascus Vambraces X;;Av-bras Damascus X;;Damaskus-Armschie. X;ダマスクＸアーム;金属镶嵌腕甲Ｘ
Damascus Guards X;;Gardes Damascus X;;Damaskus-Armschutz X;ダマスクＸガード;金属镶嵌护手Ｘ
Vangis Vambraces X;;Avt-bras Vangis X;;Vangis-Armschienen X;バンギスＸアーム;恐暴龙腕甲Ｘ
Vangis Guards X;;Gardes Vangis X;;Vangis-Armschutz X;バンギスＸガード;恐暴龙护手Ｘ
Lambent Wristrays;;Poignets Lambent;;Leucht-Armstrahler;月光【手甲】;月光【手甲】
Silhouette Wristrays;;Poignets Silhouette;;SilhouettArmstrahler;白影【手甲】;白影【手甲】
Silver Solbraces;;Avt-bras Sol argent;;SilberSonnenschienen;シルバーソルアーム;银火龙腕甲
Silver Solguards;;Gardes Sol argent;;Silver-Sonnenschutz;シルバーソルガード;银火龙护手
Golden Lunebraces;;Avt-bras Lune or;;Gold-Mondschienen;ゴールドルナアーム;金火龙腕甲
Golden Luneguards;;Gardes Lune or;;Gold-Mondschutz;ゴールドルナガード;金火龙护手
Grand Yamato Kote;;Grand Yamato Kote;;Groß-Yamato-Kote;大和・真【篭手】;大和・真【护手】
Grand Mutsu Kote;;Grand Mutsu Kote;;Groß-Mutsu-Kote;陸奥・真【篭手】;陆奥・真【护手】
Grand Hyuga Kote;;Grand Hyuga Kote;;Groß-Hyuga-Kote;日向・真【篭手】;日向・真【护手】
Grand Amagi Kote;;Grand Amagi Kote;;Groß-Amagi-Kote;天城・真【篭手】;天城・真【护手】
Yamato Kote Prime;;Yamato Kote parfait;;1A-Yamato-Kote;大和・極【篭手】;大和・极【护手】
Mutsu Kote Prime;;Mutsu Kote parfait;;1A-Mutsu-Kote;陸奥・極【篭手】;陆奥・极【护手】
Hyuga Kote Prime;;Hyuga Kote parfait;;1A-Hyuga-Kote;日向・極【篭手】;日向・极【护手】
Amagi Kote Prime;;Amagi Kote parfait;;1A-Amagi-Kote;天城・極【篭手】;天城・极【护手】
Nether Vambraces;;Avt-bras Nether;;Jenseits-Armschienen;アビスアーム;冥海龙腕甲
Nether Guards;;Gardes Nether;;Jenseits-Armschutz;アビスガード;冥海龙护手
Miralis Grievers;;Cnémides Miralis;;Miralis-Trauer;ミラアルマクロウ;炼黑龙之悲伤
Miralis Clouts;;Poings Miralis;;Miralis-Schläge;ミラアルマフィスト;炼黑龙之权利
Captain Gloves J;;Jolly Roger Gloves X;;Jolly Roger Gloves X;キャプテンＪグラブ;船长Ｊ手套
Captain Cuffs J;;Jolly Roger Cuffs X;;Jolly Roger Cuffs X;キャプテンＪカフス;船长Ｊ长袖
Escadora Arms X;;Escadora Arms X;;Escadora-Waffen X;エスカドラＸアムズ;煌黑龙之腕甲Ｘ
Escadora Arma X;;Escadora Arma X;;Escadora-Arma X;エスカドラＸアルマ;煌黑龙之手腕Ｘ
Blue Star Arms;;ブルースターアーム;;Blauer Sternen-Armschie.;ブルースターアーム;工作室腕甲
Blue Star Cuffs;;ブルースターカフス;;Blauer Sternen-Armschutz;ブルースターカフス;工作室长袖
