english;spanish;french;italian;german;japanese;chinese
Guild Bard Gaiters X;;Guêtres de barde X;;GildenbardenStulpenX;ギルドバードＸフット;工会精英足甲Ｘ
Scholar's Socks X;;Chaussettes clerc X;;Gelehrten-Socken X;スカラーＸソックス;店员短袜Ｘ
Scholar's Sandals X;;Sandales de clerc X;;Gelehrten-Sandalen X;スカラーＸサンダル;店员凉鞋Ｘ
Strider's Espadrlles;;Espadrilles rôdeur;;Streicher-Leinensch.;城塞特攻隊【足袋】;城塞特攻队【足袋】
Deadeye's Espadrlles;;Espadrill. mortelles;;ZielwasserLeinensch.;城塞隠密隊【足袋】;城塞隐密队【足袋】
Barioth Greaves X;;Grèves Barioth X;;Barioth-Beinschie. X;ベリオＸグリーヴ;冰牙龙重靴Ｘ
Barioth Leggings X;;Cuissardes Barioth X;;Barioth-Gamaschen X;ベリオＸレギンス;冰牙龙轻靴Ｘ
Barioth Greaves Z;;Grèves Barioth Z;;Barioth-Beinschie. Z;ベリオＺグリーヴ;风牙龙重靴Ｚ
Barioth Leggings Z;;Cuissardes Barioth Z;;Barioth-Gamaschen Z;ベリオＺレギンス;风牙龙轻靴Ｚ
Barroth Greaves X;;Grèves Barroth X;;Barroth-Beinschie. X;ボロスＸグリーヴ;土砂龙重靴Ｘ
Barroth Leggings X;;Cuissardes Barroth X;;Barroth-Gamaschen X;ボロスＸレギンス;土砂龙轻靴Ｘ
Barroth Greaves Z;;Grèves Barroth Z;;Barroth-Beinschie. Z;ボロスＺグリーヴ;冰碎龙重靴Ｚ
Barroth Leggings Z;;Cuissardes Barroth Z;;Barroth-Gamaschen Z;ボロスＺレギンス;冰碎龙轻靴Ｚ
Gobul Greaves X;;Grèves Gobul X;;Gobul-Beinschienen X;ガブルＸグリーヴ;灯鱼龙重靴Ｘ
Gobul Leggings X;;Cuissardes Gobul X;;Gobul-Gamaschen X;ガブルＸレギンス;灯鱼龙轻靴Ｘ
Gigginox Greaves X;;Grèves Gigginox X;;GigginoxBeinschie.X;ネブラＸグリーヴ;毒怪龙重靴Ｘ
Gigginox Leggings X;;Cuiss. Gigginox X;;Gigginox-Gamaschen X;ネブラＸレギンス;毒怪龙轻靴Ｘ
Gigginox Greaves Z;;Grèves Gigginox Z;;GigginoxBeinschie. Z;ネブラＺグリーヴ;电怪龙重靴Ｚ
Gigginox Leggings Z;;Cuiss. Gigginox Z;;Gigginox-Gamaschen Z;ネブラＺレギンス;电怪龙轻靴Ｚ
Nibelsnarf Greaves X;;Grèves Nibelsnarf X;;NibelsnarfBeinsch. X;ハプルＸグリーヴ;潜口龙重靴Ｘ
Nibelsnarf Leggngs X;;Cuiss. Nibelsnarf X;;NibelsnarfGamaschenX;ハプルＸレギンス;潜口龙轻靴Ｘ
Duramboros Greaves X;;Grèves Duramboros X;;DuramborosBeinsch. X;ドボルＸグリーヴ;尾槌龙重靴Ｘ
Duramboros Leggngs X;;Cuiss. Duramboros X;;DuramborosGamaschenX;ドボルＸレギンス;尾槌龙轻靴Ｘ
Duramboros Greaves Z;;Grèves Duramboros Z;;DuramborosBeinsch. Z;ドボルＺグリーヴ;尾斧龙重靴Ｚ
Duramboros Leggngs Z;;Cuiss. Duramboros Z;;DuramborosGamaschenZ;ドボルＺレギンス;尾斧龙轻靴Ｚ
Nargacuga Greaves X;;Grèves Nargacuga X;;NargacugaBeinschi. X;ナルガＸグリーヴ;迅龙重靴Ｘ
Nargacuga Leggings X;;Cuiss. Nargacuga X;;NargacugaGamaschen X;ナルガＸレギンス;迅龙轻靴Ｘ
Nargacuga Greaves Z;;Grèves Nargacuga Z;;NargacugaBeinschi. Z;ナルガＺグリーヴ;绿迅龙重靴Ｚ
Nargacuga Leggings Z;;Cuiss. Nargacuga Z;;NargacugaGamaschen Z;ナルガＺレギンス;绿迅龙轻靴Ｚ
Helios Greaves X;;Grèves Helios X;;HeliosBeinschienen X;ヘリオスＸグリーヴ;太阳神重靴Ｘ
Helios Leggings X;;Cuissardes Helios X;;Helios-Gamaschen X;ヘリオスＸレギンス;太阳神轻靴Ｘ
Selene Greaves X;;Grèves Selene X;;SeleneBeinschienen X;セレネＸグリーヴ;月神重靴Ｘ
Selene Leggings X;;Cuissardes Selene X;;Selene-Gamaschen X;セレネＸレギンス;月神轻靴Ｘ
Helios Greaves Z;;Grèves Helios Z;;HeliosBeinschienen Z;ヘリオスＺグリーヴ;太阳神重靴Ｚ
Helios Leggings Z;;Cuissardes Helios Z;;Helios-Gamaschen Z;ヘリオスＺレギンス;太阳神轻靴Ｚ
Selene Greaves Z;;Grèves Selene Z;;SeleneBeinschienen Z;セレネＺグリーヴ;月神重靴Ｚ
Selene Leggings Z;;Cuissardes Selene Z;;Selene-Gamaschen Z;セレネＺレギンス;月神轻靴Ｚ
Aelucanth Crura X;;Jambe Aelucanth X;;Aelucanth-Schenkel X;ロワーガＸガンバ;锹虫重靴Ｘ
Aelucanth Tarsi X;;Patte Aelucanth X;;Aelucanth-Tarsi X;ロワーガＸフェムル;锹虫轻靴Ｘ
Rhopessa Crura X;;Jambe Rhopessa X;;Rhopessa-Schenkel X;ファルメルＸガンバ;蝴蝶重靴Ｘ
Rhopessa Tarsi X;;Patte Rhopessa X;;Rhopessa-Tarsi X;ファルメルＸフェムル;蝴蝶轻靴Ｘ
Rathalos Greaves X;;Grèves Rathalos X;;RathalosBeinschi. X;レウスＸグリーヴ;雄火龙重靴Ｘ
Rathalos Leggings X;;Cuiss. Rathalos X;;Rathalos-GamaschenX;レウスＸレギンス;雄火龙轻靴Ｘ
Rath Soul Greaves Z;;Grèves Âme Rath Z;;RathSeelenbeinsch. Z;リオソウルＺグリーヴ;苍火龙重靴Ｚ
Rath Soul Leggings Z;;Cuiss. Âme Rath Z;;RathSeelengamaschenZ;リオソウルＺレギンス;苍火龙轻靴Ｚ
Diablos Greaves X;;Grèves Diablos X;;Diablos-Beinschie. X;ディアブロＸグリーヴ;角龙重靴Ｘ
Diablos Leggings X;;Cuissardes Diablos X;;Diablos-Gamaschen X;ディアブロＸレギンス;角龙轻靴Ｘ
Diablos Greaves Z;;Grèves Diablos Z;;Diablos-Beinschie. Z;ディアブロＺグリーヴ;黑角龙重靴Ｚ
Diablos Leggings Z;;Cuissardes Diablos Z;;Diablos-Gamaschen Z;ディアブロＺレギンス;黑角龙轻靴Ｚ
Agnaktor Greaves X;;Grèves Agnaktor X;;AgnaktorBeinschie. X;アグナＸグリーヴ;炎戈龙重靴Ｘ
Agnaktor Leggings X;;Cuiss. Agnaktor X;;Agnaktor-Gamaschen X;アグナＸレギンス;炎戈龙轻靴Ｘ
Agnaktor Greaves Z;;Grèves Agnaktor Z;;AgnaktorBeinschie. Z;アグナＺグリーヴ;冻戈龙重靴Ｚ
Agnaktor Leggings Z;;Cuiss. Agnaktor Z;;Agnaktor-Gamaschen Z;アグナＺレギンス;冻戈龙轻靴Ｚ
Brachydios Greaves X;;Grèves Brachydios X;;BrachydiosBeinsch. X;ブラキＸグリーヴ;碎龙重靴Ｘ
Brachydios Leggngs X;;Cuiss. Brachydios X;;BrachydiosGamaschenX;ブラキＸレギンス;碎龙轻靴Ｘ
Lagiacrus Greaves X;;Grèves Lagiacrus X;;LagiacrusBeinschi. X;ラギアＸグリーヴ;海龙重靴Ｘ
Lagiacrus Leggings X;;Cuiss. Lagiacrus X;;LagiacrusGamaschen X;ラギアＸレギンス;海龙轻靴Ｘ
Lagiacrus Greaves Z;;Grèves Lagiacrus Z;;LagiacrusBeinschi. Z;ラギアＺグリーヴ;白海龙重靴Ｚ
Lagiacrus Leggings Z;;Cuiss. Lagiacrus Z;;LagiacrusGamaschen Z;ラギアＺレギンス;白海龙轻靴Ｚ
Uragaan Greaves X;;Grèves Uragaan X;;Uragaan-Beinschie. X;ガンキンＸグリーヴ;爆锤龙重靴Ｘ
Uragaan Leggings X;;Cuissardes Uragaan X;;Uragaan-Gamaschen X;ガンキンＸレギンス;爆锤龙轻靴Ｘ
Uragaan Greaves Z;;Grèves Uragaan Z;;Uragaan-Beinschie. Z;ガンキンＺグリーヴ;钢锤龙重靴Ｚ
Uragaan Leggings Z;;Cuissardes Uragaan Z;;Uragaan-Gamaschen Z;ガンキンＺレギンス;钢锤龙轻靴Ｚ
Zinogre Greaves X;;Grèves Zinogre X;;Zinogre-Beinschie. X;ジンオウＸグリーヴ;雷狼龙重靴Ｘ
Zinogre Leggings X;;Cuissardes Zinogre X;;Zinogre-Gamaschen X;ジンオウＸレギンス;雷狼龙轻靴Ｘ
Zinogre Greaves Z;;Grèves Zinogre Z;;Zinogre-Beinschie. Z;ジンオウＺグリーヴ;狱狼龙重靴Ｚ
Zinogre Leggings Z;;Cuissardes Zinogre Z;;Zinogre-Gamaschen Z;ジンオウＺレギンス;狱狼龙轻靴Ｚ
Dober Greaves X;;Grèves Dober X;;Dober-Beinschienen X;ドーベルＸグリーヴ;远古龙重靴Ｘ
Dober Leggings X;;Cuissardes Dober X;;Dober-Gamaschen X;ドーベルＸレギンス;远古龙轻靴Ｘ
Damascus Greaves X;;Grèves Damascus X;;DamaskusBeinschie. X;ダマスクＸグリーヴ;金属镶嵌重靴Ｘ
Damascus Leggings X;;Cuiss. Damascus X;;Damaskus-Gamaschen X;ダマスクＸレギンス;金属镶嵌轻靴Ｘ
Vangis Greaves X;;Grèves Vangis X;;Vangis-Beinschie. X;バンギスＸグリーヴ;恐暴龙重靴Ｘ
Vangis Leggings X;;Cuissardes Vangis X;;Vangis-Gamaschen X;バンギスＸレギンス;恐暴龙轻靴Ｘ
Lambent Gaiters;;Guêtres Lambent;;Leucht-Stulpen;月光【具足】;月光【具足】
Silhouette Gaiters;;Guêtres Silhouette;;Silhouetten-Stulpen;白影【具足】;白影【具足】
Silver Solgreaves;;Grèves Sol argent;;SilberSonnenbeinsch.;シルバーソルグリーヴ;银火龙重靴
Silver Solleggings;;Cuiss. Sol argent;;SilberSonnensgamasch.;シルバーソルレギンス;银火龙轻靴
Golden Lunegreaves;;Grèves Lune or;;Gold-Mondbeinschie.;ゴールドルナグリーヴ;金火龙重靴
Golden Luneleggings;;Cuiss. Lune or;;Golde-Mondgamaschen;ゴールドルナレギンス;金火龙轻靴
Grand Yamato Gusoku;;Grand Yamato Gusoku;;Groß-Yamato-Gusoku;大和・真【具足】;大和・真【具足】
Grand Mutsu Gusoku;;Grand Mutsu Gusoku;;Groß-Mutsu-Gusoku;陸奥・真【具足】;陆奥・真【具足】
Grand Hyuga Hakama;;Grand Hyuga Hakama;;Groß-Hyuga-Hakama;日向・真【袴】;日向・真【袴】
Grand Amagi Hakama;;Grand Amagi Hakama;;Groß-Amagi-Hakama;天城・真【袴】;天城・真【袴】
Yamato Gusoku Prime;;Y. Gusoku parfait;;1A-Yamato-Gusoku;大和・極【具足】;大和・极【具足】
Mutsu Gusoku Prime;;Mutsu Gusoku parfait;;1A-Mutsu-Gusoku;陸奥・極【具足】;陆奥・极【具足】
Hyuga Hakama Prime;;Hyuga Hakama parfait;;1A-Hyuga-Hakama;日向・極【袴】;日向・极【袴】
Amagi Hakama Prime;;Amagi Hakama parfait;;1A-Amagi-Hakama;天城・極【袴】;天城・极【袴】
Nether Greaves;;Grèves Nether;;Jenseits-Beinschien.;アビスグリーヴ;冥海龙重靴
Nether Leggings;;Cuissardes Nether;;Jenseits-Gamaschen;アビスレギンス;冥海龙轻靴
Miralis Drogues;;Jambières Miralis;;Miralis-Windsack;ミラアルマフット;炼黑龙之浮标
Miralis Kedges;;Talons Miralis;;Miralis-Anker;ミラアルマレグス;炼黑龙之船锚
Training Corps Boots;;Training Corps Boots ;;Training Corps Boots ;訓練兵団ブーツ;训练兵团皮靴
Training Corps Pants;;Training Corps Pants ;;Training Corps Pants ;訓練兵団パンツ;训练兵团具足
Captain Boots J;;Jolly Roger Boots X;;Jolly Roger Boots X;キャプテンＪブーツ;船长Ｊ皮靴
Captain Pants J;;Jolly Roger Pants X;;Jolly Roger Pants X;キャプテンＪパンツ;船长Ｊ具足
Escadora Scale X;;Escadora Scale X;;Escadora-Schuppe X;エスカドラＸスケル;煌黑龙之骨Ｘ
Escadora Scala X;;Écaille Escadora X;;Escadora-Dunkel X;エスカドラＸスクレ;煌黑龙之足Ｘ
Blue Star Boots;;ブルースターブーツ;;Blaue Sternen-Stiefel;ブルースターブーツ;工作室皮靴
Blue Star Feet;;ブルースターフット;;Blaue Sternen-Stulpen;ブルースターフット;工作室足甲
